facility,id,lat,lon,year,month,cases,population,time
Aa-salam_Clinic,e1iVoquOKVT,-14.54537,35.19221,2025,1,122.0,29.321109771728516,2025-01
African_Bible_College_Community_Hospital,zYfP0gkHRJH,-13.96816,33.74129,2025,1,100.0,8.39369010925293,2025-01
Airwing_Dispensary,V7m6S5TIpqf,-13.96162,33.69679,2025,1,931.0,15.807074546813965,2025-01
Alinafe_Community_Hospital,Y46sxDDIkfz,-13.38789,34.24292,2025,1,564.0,25.45125961303711,2025-01
Alumenda_Clinic_(Illovo_Private),NG36oCEzUcC,-16.403325,34.885623,2025,1,3.0,40.11339569091797,2025-01
Amalika_Dispensary,lIGQGBEICWx,-15.99203,35.03183,2025,1,222.0,3.5432140827178955,2025-01
Anchor_Farm_Health_Centre,lXEN2NtidAc,-13.41428,33.390958,2025,1,806.0,8.564252853393555,2025-01
Area_18_Urban_Health_Centre,h2ls2FUTYDc,-13.94131,33.78051,2025,1,1217.0,46.98563766479492,2025-01
Area_25_Urban_Health_Centre,mFfOvxjq4y2,-13.89272,33.77465,2025,1,3626.0,18.668472290039062,2025-01
Area_30_Police_Clinic,LAO8ozAkDKO,-13.9279,33.78419,2025,1,568.0,5.991424083709717,2025-01
Asamala_Health_Services_,sXNwy8bRFub,-13.94454,33.77083,2025,1,38.0,24.746606826782227,2025-01
Atupele_Community_Hospital,WZ18joAt6xW,-9.73682,33.83744,2025,1,796.0,14.125017166137695,2025-01
Balaka_District_Hospital,R96XZz9y9Ji,-14.98498,34.94959,2025,1,1655.0,64.32628631591797,2025-01
Bangwe_Health_Centre,Z4phqEA2Pcr,-15.823832,35.080477,2025,1,155.0,68.30626678466797,2025-01
Bema_Dispensary,XWADuecGXN4,-14.15069,34.31881,2025,1,2898.0,34.301856994628906,2025-01
Bembeke_Health_Centre,spQpsut9f1B,-14.35825,34.42432,2025,1,80.0,28.435047149658203,2025-01
Benga_Health_Centre,n6UZ8o9yo6L,-13.36846,34.27404,2025,1,760.0,16.665878295898438,2025-01
Bereu_Dispensary,FO0kNPmm5E9,-16.15199,34.85376,2025,1,129.0,54.74983215332031,2025-01
